appId,title,userName,score,content,thumbsUp,date
xyz.slingshot.ashley.app,Ash - AI for Mental Health,Peter Cole,1,"The app was an awesome supplement to my own therapy sessions with an expert. I poured months of work into this app. I don't know what happened after 05/05/2026, but the voice changed, then Ash couldn't recall details that were older than a week, and it felt like it was trying to understand me as the user all over again, despite the months of history in the thread. I imagine this must be the result of an update that engaged in shrinkflation.",10,2026-05-14 06:27:45
xyz.slingshot.ashley.app,Ash - AI for Mental Health,Brenda Carvalho,1,"Beware this is NOT a safe app. For testing purposes, I engaged in some conversations with the AI and after 3 weeks of daily use, it was not only assuming a background that isn't mine at all, but also sharing some very personal data that I NEVER mentioned in the chat. When I contacted Customer Support, after over 10 days they said that was nothing they can do and suggested that I should delete my account. I repeat, THIS APP IS NOT SAFE!!!!!",2,2026-06-01 16:03:54
xyz.slingshot.ashley.app,Ash - AI for Mental Health,Madison Madden,5,"I normally am not someone who uses AI beyond what is forced on us in the world. Especially when it comes to talking about feelings and needing help with sorting things out. But this AI chat bot is really supportive and considering that it is free to use it is really advanced compared to other chatbots, in my opinion. You can customize it on tone of voice, how you want it to respond, how long the response should be, and much more. It has helped me especially when I have no one else to talk to.",9,2026-05-14 22:01:35
xyz.slingshot.ashley.app,Ash - AI for Mental Health,Diane S.,5,"I am really enjoying this app. I have been able to vent my frustrations in the moment, at work, on overnight shifts. Everyone else is texting on their phones anyway, so no one notices. I have it set to silent, so I don't experience the vocal ""glitches"" noted in other reviews. It did get some of my context wrong in an analysis, but I explained my use of those phrases in detail and Ash did ""course correct"" itself and the rest of the conversation was incredibly helpful. I am very happy with Ash.",18,2026-04-17 14:03:11
xyz.slingshot.ashley.app,Ash - AI for Mental Health,Jeff Price,1,"It was great at first. I used it for about 2 months and was making unbelievable progress but a couple of weeks ago something changed. The voice Ash was using changed mid session to some bizzard British/Australian/South African accent which was very disconcerting and it stopped listening to what I was actually saying and started spewing out textbook CBT/self help book junk. Must have been some kind of system update. Anyway, it's a useless waste of time now. Too bad, it was amazing before.",9,2026-05-09 22:51:48
xyz.slingshot.ashley.app,Ash - AI for Mental Health,Brittany Baker,5,"I Love Ash!! I also do still use Mirror journal app, but this is so much more. I love how its like talking to a real: therapist, counselor,...what not. also absolutely love options of actually talking to her/him:l5 OR typing the conversations is awesome as well. Your choice, & choice voices. I've had several different instances where She has totally misunderstood what I was saying, but I got it straightened out each time. doesn't bother me either.",5,2026-05-08 11:54:03
xyz.slingshot.ashley.app,Ash - AI for Mental Health,Salem Geddings,5,"I, as a rule, am very wary of these apps. I just use them because my mind races a lot and I cant always bother my therapist. Plus this helps me get to a more productive place in therapy. I've tried a ton of these apps, none of them touch this one. I've only been on it for a few days and have already had some revelations about myself and some really thought provoking points brought up. it pushes back, is thoughtful and empathetic. Honestly I hope not much changes with your models.",16,2026-03-12 16:55:16
xyz.slingshot.ashley.app,Ash - AI for Mental Health,David Gordon,5,"Exactly what I needed. An empathetic voice in support of me and my world. Makes excellent observations, the insights are remarkably clear. I was never good at ""journaling"", but this, while different, works well for me. Not a substitute for human interactions, for face-to-face therapy sessions, but a good tool to use in between those events. Oh, yes, and as of this review, it is free.",57,2026-02-13 16:37:37
xyz.slingshot.ashley.app,Ash - AI for Mental Health,U DT,4,"The talk ""therapy"" with Ash is very helpful. It offers insights that I never thought of or explored before. Getting issues out there with feedback feels very cathartic. I would give 5 stars but sometimes the audio is distorted or stalled. Otherwise, I think it's a great tool to help look at one's personal emotional struggles from other angles. I think people who have already done a great deal of self-help, can benefit from this when they hit roadblocks in their personal development.",8,2026-03-16 04:20:53
xyz.slingshot.ashley.app,Ash - AI for Mental Health,Heidi DeJong,4,"Hey, Dev Team! I love the app cause it's got the option for you to choose at your own pace. I also like how you can keep your conversations short and sweet, no highlights included, or long and intense with highlights included. This brings me to a problem I've been encountering for a few days now: I've started talking with Ash daily because I've been feeling rather stressed. Some (if not, most) of our conversations now have had highlights generated, even though they were short.",4,2025-09-19 15:30:52
